Date,Ticker,Adj Close
2023-01-03,SPY,379.37213134765625
2023-01-04,SPY,382.30096435546875
2023-01-05,SPY,377.9375915527344
2023-01-06,SPY,386.6044921875
2023-01-09,SPY,386.3853454589844
2023-01-10,SPY,389.0950012207031
2023-01-11,SPY,394.0162353515625
2023-01-12,SPY,395.45074462890625
2023-01-13,SPY,396.9848937988281
2023-01-17,SPY,396.2576599121094
2023-01-18,SPY,390.0015563964844
2023-01-19,SPY,387.16241455078125
2023-01-20,SPY,394.3748779296875
2023-01-23,SPY,399.1068115234375
2023-01-24,SPY,398.6784362792969
2023-01-25,SPY,398.827880859375
2023-01-26,SPY,403.2111511230469
2023-01-27,SPY,404.1376037597656
2023-01-30,SPY,399.06695556640625
2023-01-31,SPY,404.9345703125
2023-02-01,SPY,409.2381286621094
2023-02-02,SPY,415.1954040527344
2023-02-03,SPY,410.7822570800781
2023-02-06,SPY,408.2718200683594
2023-02-07,SPY,413.6114501953125
2023-02-08,SPY,409.0887145996094
2023-02-09,SPY,405.542236328125
2023-02-10,SPY,406.4886474609375
2023-02-13,SPY,411.2604064941406
2023-02-14,SPY,411.0711669921875
2023-02-15,SPY,412.40606689453125
2023-02-16,SPY,406.72772216796875
2023-02-17,SPY,405.71160888671875
2023-02-21,SPY,397.5726623535156
2023-02-22,SPY,397.0247497558594
2023-02-23,SPY,399.1366882324219
2023-02-24,SPY,394.8729553222656
2023-02-27,SPY,396.21783447265625
2023-02-28,SPY,394.75341796875
2023-03-01,SPY,393.23919677734375
2023-03-02,SPY,396.2975158691406
2023-03-03,SPY,402.65325927734375
2023-03-06,SPY,402.9322204589844
2023-03-07,SPY,396.7557678222656
2023-03-08,SPY,397.4033203125
2023-03-09,SPY,390.0712890625
2023-03-10,SPY,384.4427795410156
2023-03-13,SPY,383.89483642578125
2023-03-14,SPY,390.24066162109375
2023-03-15,SPY,387.7999572753906
2023-03-16,SPY,394.6039733886719
2023-03-17,SPY,389.989990234375
2023-03-20,SPY,393.739990234375
2023-03-21,SPY,398.9100036621094
2023-03-22,SPY,392.1099853515625
2023-03-23,SPY,393.1700134277344
2023-03-24,SPY,395.75
2023-03-27,SPY,396.489990234375
2023-03-28,SPY,395.6000061035156
2023-03-29,SPY,401.3500061035156
2023-03-30,SPY,403.70001220703125
2023-03-31,SPY,409.3900146484375
2023-04-03,SPY,410.95001220703125
2023-04-04,SPY,408.6700134277344
2023-04-05,SPY,407.6000061035156
2023-04-06,SPY,409.19000244140625
2023-04-10,SPY,409.6099853515625
2023-04-11,SPY,409.7200012207031
2023-04-12,SPY,408.04998779296875
2023-04-13,SPY,413.4700012207031
2023-04-14,SPY,412.4599914550781
2023-04-17,SPY,413.94000244140625
2023-04-18,SPY,414.2099914550781
2023-04-19,SPY,414.1400146484375
2023-04-20,SPY,411.8800048828125
2023-04-21,SPY,412.20001220703125
2023-04-24,SPY,412.6300048828125
2023-04-25,SPY,406.0799865722656
2023-04-26,SPY,404.3599853515625
