Date,Ticker,Adj Close,Target_400_buy,Target_400_sell,Datelogic,combine,LO,Trade,TradeQut,TotalQut,Cash,Target_400_exp,returns,Ticker,Adj Close,Target_400_buy,Target_400_sell,Datelogic,combine,LO,Trade,TradeQut,TotalQut,Cash,Target_400_exp,returns,Ticker,Adj Close,Target_400_buy,Target_400_sell,Datelogic,combine,LO,Trade,TradeQut,TotalQut,Cash,Target_400_exp,returns,Ticker,Adj Close,Target_400_buy,Target_400_sell,Datelogic,combine,LO,Trade,TradeQut,TotalQut,Cash,Target_400_exp,returns,Ticker,Adj Close,Target_400_buy,Target_400_sell,Datelogic,combine,LO,Trade,TradeQut,TotalQut,Cash,Target_400_exp,returns
2023-01-18,SPY,390.0015563964844,400,400,1,0.1,1.0,1.1102230246251565e-16,0.0,20.0,2231.1898803710938,10031.221008300781,-0.012319598633486084,SPY,390.0015563964844,400,400,0,0.0,0.0,0.0,0.0,0.0,10000.0,10000.0,0.0,SPY,390.0015563964844,400,400,0,0.0,0.0,0.0,0.0,0.0,10000.0,10000.0,0.0,SPY,390.0015563964844,400,400,0,0.0,0.0,0.0,0.0,0.0,10000.0,10000.0,0.0,SPY,390.0015563964844,400,400,1,0.1,1.0,1.1102230246251565e-16,0.0,20.0,2231.1898803710938,10031.221008300781,-0.012319598633486084
2023-01-19,SPY,387.1624145507813,400,400,1,0.1,1.0,0.0,0.0,20.0,2231.1898803710938,9974.438171386719,-0.005660610694059542,SPY,387.1624145507813,400,400,0,0.0,0.0,0.0,0.0,0.0,10000.0,10000.0,0.0,SPY,387.1624145507813,400,400,0,0.0,0.0,0.0,0.0,0.0,10000.0,10000.0,0.0,SPY,387.1624145507813,400,400,0,0.0,0.0,0.0,0.0,0.0,10000.0,10000.0,0.0,SPY,387.1624145507813,400,400,1,0.1,1.0,0.0,0.0,20.0,2231.1898803710938,9974.438171386719,-0.005660610694059542
2023-01-20,SPY,394.3748779296875,400,400,1,0.1,1.0,0.0,0.0,20.0,2231.1898803710938,10118.687438964844,0.01446189400340625,SPY,394.3748779296875,400,400,0,0.0,0.0,0.0,0.0,0.0,10000.0,10000.0,0.0,SPY,394.3748779296875,400,400,0,0.0,0.0,0.0,0.0,0.0,10000.0,10000.0,0.0,SPY,394.3748779296875,400,400,0,0.0,0.0,0.0,0.0,0.0,10000.0,10000.0,0.0,SPY,394.3748779296875,400,400,1,0.1,1.0,0.0,0.0,20.0,2231.1898803710938,10118.687438964844,0.01446189400340625
2023-01-23,SPY,399.1068115234375,400,400,1,0.1,1.0,0.0,0.0,20.0,2231.1898803710938,10213.326110839844,0.009352860481742553,SPY,399.1068115234375,400,400,0,0.0,0.0,0.0,0.0,0.0,10000.0,10000.0,0.0,SPY,399.1068115234375,400,400,0,0.0,0.0,0.0,0.0,0.0,10000.0,10000.0,0.0,SPY,399.1068115234375,400,400,0,0.0,0.0,0.0,0.0,0.0,10000.0,10000.0,0.0,SPY,399.1068115234375,400,400,1,0.1,1.0,0.0,0.0,20.0,2231.1898803710938,10213.326110839844,0.009352860481742553
2023-01-24,SPY,398.6784362792969,400,400,1,0.1,1.0,0.0,0.0,20.0,2231.1898803710938,10204.758605957031,-0.0008388555099322348,SPY,398.6784362792969,400,400,0,0.0,0.0,0.0,0.0,0.0,10000.0,10000.0,0.0,SPY,398.6784362792969,400,400,0,0.0,0.0,0.0,0.0,0.0,10000.0,10000.0,0.0,SPY,398.6784362792969,400,400,0,0.0,0.0,0.0,0.0,0.0,10000.0,10000.0,0.0,SPY,398.6784362792969,400,400,1,0.1,1.0,0.0,0.0,20.0,2231.1898803710938,10204.758605957031,-0.0008388555099322348
2023-01-25,SPY,398.827880859375,400,400,1,0.1,1.0,0.0,0.0,20.0,2231.1898803710938,10207.747497558594,0.0002928919455102985,SPY,398.827880859375,400,400,0,0.0,0.0,0.0,0.0,0.0,10000.0,10000.0,0.0,SPY,398.827880859375,400,400,0,0.0,0.0,0.0,0.0,0.0,10000.0,10000.0,0.0,SPY,398.827880859375,400,400,0,0.0,0.0,0.0,0.0,0.0,10000.0,10000.0,0.0,SPY,398.827880859375,400,400,1,0.1,1.0,0.0,0.0,20.0,2231.1898803710938,10207.747497558594,0.0002928919455102985
2023-01-26,SPY,403.2111511230469,400,400,1,-0.1,0.9,-0.09999999999999998,-2.0,18.0,3037.6121826171875,10295.412902832031,0.008588124392223229,SPY,403.2111511230469,400,400,0,-0.0,0.0,0.0,0.0,0.0,10000.0,10000.0,0.0,SPY,403.2111511230469,400,400,0,-0.0,0.0,0.0,0.0,0.0,10000.0,10000.0,0.0,SPY,403.2111511230469,400,400,0,-0.0,0.0,0.0,0.0,0.0,10000.0,10000.0,0.0,SPY,403.2111511230469,400,400,1,-0.1,0.9,-0.09999999999999998,-2.0,18.0,3037.6121826171875,10295.412902832031,0.008588124392223229
2023-01-27,SPY,404.1376037597656,400,400,1,-0.1,0.8,-0.09999999999999998,-2.0,16.0,3845.8873901367188,10312.089050292969,0.0016197648038331902,SPY,404.1376037597656,400,400,0,-0.0,0.0,0.0,0.0,0.0,10000.0,10000.0,0.0,SPY,404.1376037597656,400,400,0,-0.0,0.0,0.0,0.0,0.0,10000.0,10000.0,0.0,SPY,404.1376037597656,400,400,0,-0.0,0.0,0.0,0.0,0.0,10000.0,10000.0,0.0,SPY,404.1376037597656,400,400,1,-0.1,0.8,-0.09999999999999998,-2.0,16.0,3845.8873901367188,10312.089050292969,0.0016197648038331902
2023-01-30,SPY,399.0669555664063,400,400,1,0.1,0.9,0.09999999999999998,2.0,18.0,3047.7534790039062,10230.958679199219,-0.007867501017307932,SPY,399.0669555664063,400,400,0,0.0,0.0,0.0,0.0,0.0,10000.0,10000.0,0.0,SPY,399.0669555664063,400,400,0,0.0,0.0,0.0,0.0,0.0,10000.0,10000.0,0.0,SPY,399.0669555664063,400,400,0,0.0,0.0,0.0,0.0,0.0,10000.0,10000.0,0.0,SPY,399.0669555664063,400,400,1,0.1,0.9,0.09999999999999998,2.0,18.0,3047.7534790039062,10230.958679199219,-0.007867501017307932
2023-01-31,SPY,404.9345703125,400,400,1,-0.1,0.8,-0.09999999999999998,-2.0,16.0,3857.6226196289062,10336.575744628906,0.010323281399271078,SPY,404.9345703125,400,400,0,-0.0,0.0,0.0,0.0,0.0,10000.0,10000.0,0.0,SPY,404.9345703125,400,400,0,-0.0,0.0,0.0,0.0,0.0,10000.0,10000.0,0.0,SPY,404.9345703125,400,400,0,-0.0,0.0,0.0,0.0,0.0,10000.0,10000.0,0.0,SPY,404.9345703125,400,400,1,-0.1,0.8,-0.09999999999999998,-2.0,16.0,3857.6226196289062,10336.575744628906,0.010323281399271078
